experiment_key,Accuracy,Precision,Recall,F1_Score
SKAB_seed_123_fold_4_CNN1D_original,0.6568583069262109,0.6328828828828829,0.17197062423500611,0.27045235803657364
SKAB_seed_123_fold_4_Automata_original,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_123_fold_4_LSTM_noisy,0.6842462652784065,0.8025316455696202,0.19400244798041616,0.31246919664859535
SKAB_seed_123_fold_4_GRU_noisy,0.6263014938886374,0.4429530201342282,0.04039167686658507,0.07403252944475602
SKAB_seed_123_fold_4_CNN1D_noisy,0.6867360796740607,0.7693965517241379,0.21848225214198286,0.340324118207817
SKAB_seed_123_fold_4_Automata_noisy,0.6353153967895094,0.38095238095238093,0.015018773466833541,0.028898254063816978
SKAB_seed_123_fold_4_Automata_unseen,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_123_fold_5_LSTM_original,0.6304875358482241,0.273224043715847,0.031407035175879394,0.056338028169014086
SKAB_seed_123_fold_5_GRU_original,0.6408559452900948,0.14,0.0043969849246231155,0.008526187576126675
SKAB_seed_123_fold_5_CNN1D_original,0.6243106110743437,0.22660098522167488,0.028894472361809045,0.05125348189415042
SKAB_seed_123_fold_5_Automata_original,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_123_fold_5_LSTM_noisy,0.6377674829031547,0.345679012345679,0.035175879396984924,0.06385404789053592
SKAB_seed_123_fold_5_GRU_noisy,0.6060004412089124,0.17880794701986755,0.03391959798994975,0.057022175290390706
SKAB_seed_123_fold_5_CNN1D_noisy,0.5554820207368188,0.4079233783195472,0.5885678391959799,0.48187194651581383
SKAB_seed_123_fold_5_Automata_noisy,0.6024680475980608,0.28546712802768165,0.10604113110539845,0.15463917525773196
SKAB_seed_123_fold_5_Automata_unseen,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_2026_fold_1_LSTM_original,0.6668154429814773,0.7245508982035929,0.07716836734693877,0.13948126801152738
SKAB_seed_2026_fold_1_GRU_original,0.67284088373131,0.7236842105263158,0.10522959183673469,0.18374164810690424
SKAB_seed_2026_fold_1_CNN1D_original,0.6110243249274715,0.35864297253634897,0.14158163265306123,0.2030178326474623
SKAB_seed_2026_fold_1_Automata_original,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_2026_fold_1_LSTM_noisy,0.6429368444543628,0.3933333333333333,0.03762755102040816,0.06868451688009314
SKAB_seed_2026_fold_1_GRU_noisy,0.6380272260656104,0.392,0.0625,0.1078107810781078
SKAB_seed_2026_fold_1_CNN1D_noisy,0.5717473778174514,0.3623529411764706,0.29464285714285715,0.3250087935279634
SKAB_seed_2026_fold_1_Automata_noisy,0.6482389656709764,0.1891891891891892,0.009138381201044387,0.017434620174346202
SKAB_seed_2026_fold_1_Automata_unseen,0.6555951850200624,0.3142857142857143,0.007180156657963447,0.014039566049776643
SKAB_seed_2026_fold_2_LSTM_original,0.6653324438514565,0.5545454545454546,0.2320862396956246,0.32722396066160037
SKAB_seed_2026_fold_2_GRU_original,0.6504336224149433,0.5059952038369304,0.13379835129993659,0.21163490471414242
SKAB_seed_2026_fold_2_CNN1D_original,0.7551701134089392,0.9473684210526315,0.31959416613823716,0.4779516358463727
SKAB_seed_2026_fold_2_Automata_original,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_2026_fold_2_LSTM_noisy,0.7062486101845675,0.7591093117408907,0.23779327837666456,0.362143891839691
SKAB_seed_2026_fold_2_GRU_noisy,0.7082499444073826,0.7175697865353038,0.27710843373493976,0.39981701738334857
SKAB_seed_2026_fold_2_CNN1D_noisy,0.7098065376917946,0.6521252796420581,0.36968928344958785,0.47187373532982596
SKAB_seed_2026_fold_2_Automata_noisy,0.6486006219458018,0.2191780821917808,0.010382868267358857,0.01982651796778191
SKAB_seed_2026_fold_2_Automata_unseen,0.6532652154597957,0.08333333333333333,0.0012978585334198572,0.0025559105431309905
SKAB_seed_2026_fold_3_LSTM_original,0.5940417963539351,0.19292604501607716,0.03669724770642202,0.06166495375128469
SKAB_seed_2026_fold_3_GRU_original,0.5157847932414407,0.13557046979865772,0.0617737003058104,0.08487394957983194
SKAB_seed_2026_fold_3_CNN1D_original,0.5028901734104047,0.2631993695823483,0.20428134556574923,0.23002754820936638
SKAB_seed_2026_fold_3_Automata_original,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_2026_fold_3_LSTM_noisy,0.53223654957759,0.24315443592552027,0.13577981651376148,0.17425431711145997
SKAB_seed_2026_fold_3_GRU_noisy,0.5809248554913294,0.2693726937269373,0.08929663608562691,0.13412953605879652
SKAB_seed_2026_fold_3_CNN1D_noisy,0.5620275678079146,0.354978354978355,0.25076452599388377,0.2939068100358423
SKAB_seed_2026_fold_3_Automata_noisy,0.6309127248501,0.1941747572815534,0.012507817385866166,0.023501762632197415
