Dataset,Seed,Scenario,Model,Training_Time_sec,Inference_Time_sec,Fold
SKAB,999,unseen,Automata,0.0154,0.0185,1.0
SKAB,999,original,LSTM,25.4424,0.3123,2.0
SKAB,999,original,GRU,51.8006,0.3209,2.0
SKAB,999,original,CNN1D,30.2691,0.2157,2.0
SKAB,999,original,Automata,0.0161,0.0217,2.0
SKAB,999,noisy,LSTM,59.6597,0.353,2.0
SKAB,999,noisy,GRU,40.9009,0.3237,2.0
SKAB,999,noisy,CNN1D,40.2152,0.1998,2.0
SKAB,999,noisy,Automata,0.0163,0.0156,2.0
SKAB,999,unseen,Automata,0.0162,0.0197,2.0
SKAB,999,original,LSTM,45.3362,0.3336,3.0
SKAB,999,original,GRU,34.5004,0.3069,3.0
SKAB,999,original,CNN1D,31.998,0.1893,3.0
SKAB,999,original,Automata,0.0153,0.0291,3.0
SKAB,999,noisy,LSTM,30.1655,0.3644,3.0
SKAB,999,noisy,GRU,40.8773,0.3104,3.0
SKAB,999,noisy,CNN1D,23.0151,0.1819,3.0
SKAB,999,noisy,Automata,0.0165,0.0254,3.0
SKAB,999,unseen,Automata,0.0159,0.0331,3.0
SKAB,999,original,LSTM,62.4379,0.3685,4.0
SKAB,999,original,GRU,86.6353,0.321,4.0
SKAB,999,original,CNN1D,34.2891,0.1796,4.0
SKAB,999,original,Automata,0.0174,0.016,4.0
SKAB,999,noisy,LSTM,54.3288,0.3124,4.0
SKAB,999,noisy,GRU,166.6785,0.3382,4.0
SKAB,999,noisy,CNN1D,25.0319,0.1788,4.0
SKAB,999,noisy,Automata,0.015,0.014,4.0
SKAB,999,unseen,Automata,0.0159,0.0184,4.0
SKAB,999,original,LSTM,65.1058,0.3296,5.0
SKAB,999,original,GRU,60.3782,0.313,5.0
SKAB,999,original,CNN1D,24.9867,0.2124,5.0
SKAB,999,original,Automata,0.0184,0.0288,5.0
SKAB,999,noisy,LSTM,70.9703,0.3769,5.0
SKAB,999,noisy,GRU,154.662,0.3273,5.0
SKAB,999,noisy,CNN1D,18.2675,0.1906,5.0
